BoroCT2010,stem_women
2000100,0
2000200,0
2000400,22
2001600,0
2001900,4
2002000,14
2002300,7
2002400,0
2002500,7
2002701,0
2002702,0
2002800,0
2003100,0
2003300,0
2003500,0
2003700,0
2003800,0
2003900,0
2004001,0
2004100,0
2004200,0
2004300,0
2004400,13
2004600,1
2004800,11
2005001,0
2005002,0
2005100,0
2005200,0
2005300,0
2005400,0
2005600,4
2005902,25
2006000,0
2006100,11
2006200,0
2006300,9
2006400,0
2006500,0
2006700,0
2006800,7
2006900,14
2007000,26
2007100,12
2007200,4
2007300,0
2007400,0
2007500,0
2007600,11
2007700,0
2007800,36
2007900,0
2008300,0
2008400,11
2008500,20
2008600,0
2008700,0
2008900,0
2009000,0
2009200,0
2009300,9
2009600,5
2009800,21
2011000,0
2011502,0
2011700,0
2011800,43
2011900,0
2012101,0
2012102,0
2012300,0
2012500,19
2012701,0
2012901,0
2013000,0
2013100,0
2013200,0
2013300,0
2013500,0
2013800,22
2014100,0
2014300,0
2014400,0
2014500,0
2014701,0
2014702,0
2014900,10
2015100,0
2015200,0
2015300,13
2015500,0
2015700,15
2015800,0
2015900,0
2016000,24
2016100,0
2016200,0
2016300,0
2016400,3
2016500,15
2016600,18
2016700,0
2016900,0
2017100,0
2017300,0
2017500,16
2017701,0
2017702,0
2017901,0
2017902,0
2018101,0
2018102,0
2018301,23
2018302,0
2018400,0
2018500,40
2018900,14
2019300,0
2019400,13
2019500,0
2019700,0
2019900,13
2020000,12
2020100,25
2020200,7
2020400,59
2020501,0
2020502,8
2020601,32
2020900,0
2021001,0
2021002,46
2021100,0
2021200,0
2021301,7
2021302,0
2021501,8
2021502,7
2021601,0
2021602,15
2021700,0
2021800,0
2021900,0
2022000,0
2022101,0
2022102,0
2022200,5
2022300,8
2022401,9
2022403,0
2022404,9
2022500,0
2022701,0
2022702,0
2022703,4
2022800,53
2022901,0
2022902,0
2023000,0
2023100,0
2023200,11
2023301,0
2023302,0
2023501,15
2023502,0
2023600,10
2023702,0
2023703,0
2023704,8
2023800,0
2023900,0
2024000,21
2024100,9
2024300,15
2024400,46
2024501,0
2024502,0
2024600,14
2024700,6
2024800,0
2024900,0
2025000,29
2025100,0
2025200,9
2025300,7
2025400,22
2025500,0
2025600,4
2025700,0
2026100,19
2026300,0
2026400,32
2026500,35
2026601,7
2026602,0
2026701,12
2026702,0
2026900,0
2027300,24
2027401,5
2027402,15
2027600,0
2027700,4
2027900,17
2028100,25
2028300,12
2028400,0
2028500,55
2028600,0
2028700,49
2028800,40
2028900,31
2029301,54
