name,BoroName,BoroCT2010,stem_women
Roosevelt Island - Main St,Manhattan,1023801,354
86th St,Manhattan,1017500,248
72nd St,Manhattan,1012600,224
28th St,Manhattan,1006800,200
23rd St,Manhattan,1006800,200
Cathedral Pkwy (110th St),Manhattan,1019500,188
Bergen St,Brooklyn,3006900,187
Fulton St,Manhattan,1001502,184
72nd St,Manhattan,1015900,172
Wall St,Manhattan,1000700,171
Broad St,Manhattan,1000700,171
Hunters Point Ave,Queens,4000100,169
18th St,Manhattan,1008100,165
14th St,Manhattan,1008100,165
Bowling Green,Manhattan,1001300,163
Rector St,Manhattan,1001300,163
Cortlandt St,Manhattan,1001300,163
125th St,Manhattan,1021100,159
96th St,Manhattan,1018300,154
Greenpoint Ave,Brooklyn,3057500,151
8th Ave,Manhattan,1007700,140
96th St,Manhattan,1015601,136
103rd St,Manhattan,1019100,135
181st St,Manhattan,1027300,129
116th St,Manhattan,1021800,127
1st Ave,Manhattan,1003400,117
Spring St,Manhattan,1004900,116
W 4th St - Washington Sq (Upper),Manhattan,1006500,112
W 4th St - Washington Sq (Lower),Manhattan,1006500,112
96th St,Manhattan,1015801,109
Christopher St - Sheridan Sq,Manhattan,1007300,108
75th Ave,Queens,4076901,107
7th Ave,Brooklyn,3016100,105
3rd Ave,Manhattan,1004000,105
Lexington Ave - 53rd St,Manhattan,1009800,101
Nostrand Ave,Brooklyn,3031702,101
6th Ave,Manhattan,1007100,100
14th St,Manhattan,1007100,100
4th Av - 9th St,Brooklyn,3013700,99
145th St,Manhattan,1023100,98
79th St,Manhattan,1016700,97
23rd St,Manhattan,1005600,93
28th St,Manhattan,1007600,93
Dyckman St,Manhattan,1028300,93
Herald Sq - 34th St,Manhattan,1007600,93
21st St,Queens,4000700,93
Court Sq - 23rd St,Queens,4000700,93
33rd St,Manhattan,1007200,93
Vernon Blvd - Jackson Ave,Queens,4000700,93
67th Ave,Queens,4071306,91
