OBJECTID_1,Join_Count,TARGET_FID,notes,url,name,objectid,line,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,GISJOIN,GISJOIN_1,STATEA,COUNTY,COUNTYA,TRACTA,NAME_1,LGH001,GISJOIN_Text,x,y
1,1,1,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Astor Pl,1.00000000,4-6-6 Express,36,061,005700,1400000US36061005700,36061005700,57,CT,108054.00000000,0.00000000,G3600610005700,G3600610005700,36.00000000,New York County,61.00000000,5700.00000000,Census Tract 57,2781.00000000,G3600610005700,-73.9910678831249,40.7300549589893
2,1,2,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Canal St,2.00000000,4-6-6 Express,36,061,004500,1400000US36061004500,36061004500,45,CT,104946.00000000,0.00000000,G3600610004500,G3600610004500,36.00000000,New York County,61.00000000,4500.00000000,Census Tract 45,1136.00000000,G3600610004500,-74.0001947664115,40.7188014367478
3,1,3,"1-all times, 2-nights",http://web.mta.info/nyct/service/,50th St,3.00000000,1-2,36,061,013100,1400000US36061013100,36061013100,131,CT,174140.00000000,0.00000000,G3600610013100,G3600610013100,36.00000000,New York County,61.00000000,13100.00000000,Census Tract 131,2816.00000000,G3600610013100,-73.9838454282406,40.7617288833906
4,1,4,"4-nights, 3-all other times, 2-all times",http://web.mta.info/nyct/service/,Bergen St,4.00000000,2-3-4,36,047,012902,1400000US36047012902,36047012902,129.02,CT,127063.00000000,0.00000000,G3600470012902,G3600470012902,36.00000000,Kings County,47.00000000,12902.00000000,Census Tract 129.02,1964.00000000,G3600470012902,-73.974997022692,40.6808603997729
5,1,5,"4-nights, 3-all other times",http://web.mta.info/nyct/service/,Pennsylvania Ave,5.00000000,3-4,36,047,112600,1400000US36047112600,36047112600,1126,CT,168500.00000000,0.00000000,G3600470112600,G3600470112600,36.00000000,Kings County,47.00000000,112600.00000000,Census Tract 1126,3783.00000000,G3600470112600,-73.8948852656542,40.6647130729558
6,1,7,"A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/,Cathedral Pkwy (110th St),7.00000000,A-B-C,36,061,021600,1400000US36061021600,36061021600,216,CT,173198.00000000,0.00000000,G3600610021600,G3600610021600,36.00000000,New York County,61.00000000,21600.00000000,Census Tract 216,7556.00000000,G3600610021600,-73.9580637795863,40.8005826620955
7,1,8,"A-nights, C-all other times",http://web.mta.info/nyct/service/,Kingston - Throop Aves,8.00000000,A-C,36,047,027100,1400000US36047027100,36047027100,271,CT,261822.00000000,0.00000000,G3600470027100,G3600470027100,36.00000000,Kings County,47.00000000,27100.00000000,Census Tract 271,2471.00000000,G3600470027100,-73.9408610418954,40.6799202829009
8,1,9,"E-nights, R-all other times, M-weekdays and evenings",http://web.mta.info/nyct/service/,65th St,9.00000000,E-M-R,36,081,026100,1400000US36081026100,36081026100,261,CT,222180.00000000,0.00000000,G3600810026100,G3600810026100,36.00000000,Queens County,81.00000000,26100.00000000,Census Tract 261,7414.00000000,G3600810026100,-73.8987839539873,40.749718524008
9,1,10,"E-nights, R-all other times, M-weekdays and evenings",http://web.mta.info/nyct/service/,36th St,10.00000000,E-M-R,36,081,017100,1400000US36081017100,36081017100,171,CT,1257865.00000000,0.00000000,G3600810017100,,,,,,,,,-73.9290212464507,40.7519574467434
10,1,11,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",http://web.mta.info/nyct/service/,Delancey St - Essex St,11.00000000,J-M-Z,36,061,001402,1400000US36061001402,36061001402,14.02,CT,114218.00000000,0.00000000,G3600610001402,G3600610001402,36.00000000,New York County,61.00000000,1402.00000000,Census Tract 14.02,2782.00000000,G3600610001402,-73.9874117399185,40.7183044133705
