OBJECTID_1,Join_Count,TARGET_FID,notes,url,name,objectid,line,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,x,y
1,1,6,"1-all times, exit only northbound",http://web.mta.info/nyct/service/,238th St,6.00000000,1,283,2,Bronx,028300,2028300,E,BX29,Spuyten Duyvil-Kingsbridge,3701,-73.9008680454464,40.8846674923416
2,1,7,"A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/,Cathedral Pkwy (110th St),7.00000000,A-B-C,216,1,Manhattan,021600,1021600,E,MN11,Central Harlem South,3803,-73.9580637795863,40.8005826620955
3,1,18,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Freeman St,18.00000000,2-5,125,2,Bronx,012500,2012500,E,BX35,Morrisania-Melrose,3705,-73.8917501453126,40.8299867627311
4,1,19,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Intervale Ave,19.00000000,2-5,87,2,Bronx,008700,2008700,E,BX33,Longwood,3710,-73.8966190141525,40.8221424115751
5,1,20,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,182nd-183rd Sts,20.00000000,B-D,383.01,2,Bronx,038301,2038301,E,BX40,Fordham South,3707,-73.9007422813067,40.8560961908019
6,1,21,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,174th-175th Sts,21.00000000,B-D,227.01,2,Bronx,022701,2022701,E,BX41,Mount Hope,3707,-73.9101386591786,40.8458969331346
7,1,22,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,167th St,22.00000000,B-D,181.02,2,Bronx,018102,2018102,E,BX14,East Concourse-Concourse Village,3708,-73.918430109251,40.8337658589242
8,1,26,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",http://web.mta.info/nyct/service/,Buhre Ave,26.00000000,6-6 Express,266.01,2,Bronx,026601,2026601,I,BX10,Pelham Bay-Country Club-City Island,3703,-73.8325691343948,40.8468075236244
9,1,27,"6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,3rd Ave - 138th St,27.00000000,6-6 Express,23,2,Bronx,002300,2002300,E,BX39,Mott Haven-Port Morris,3710,-73.9261376543887,40.8104761321298
10,1,28,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",http://web.mta.info/nyct/service/,Castle Hill Ave,28.00000000,6-6 Express,92,2,Bronx,009200,2009200,E,BX59,Westchester-Unionport,3709,-73.8512181596931,40.8342552225346
11,1,30,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",http://web.mta.info/nyct/service/,Zerega Ave,30.00000000,6-6 Express,96,2,Bronx,009600,2009600,E,BX59,Westchester-Unionport,3709,-73.8470320104692,40.8364912964025
12,1,33,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,96th St,33.00000000,4-6-6 Express,158.01,1,Manhattan,015801,1015801,I,MN40,Upper East Side-Carnegie Hill,3805,-73.951065903523,40.7856750758922
13,1,39,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Pelham Pkwy,39.00000000,2-5,224.03,2,Bronx,022403,2022403,E,BX49,Pelham Parkway,3704,-73.8674776663357,40.8571900885653
14,1,40,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Gun Hill Rd,40.00000000,2-5,380,2,Bronx,038000,2038000,E,BX44,Williamsbridge-Olinville,3702,-73.8661301934095,40.8778416618289
15,1,41,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Nereid Ave (238 St),41.00000000,2-5,434,2,Bronx,043400,2043400,E,BX62,Woodlawn-Wakefield,3702,-73.8543173474234,40.8982898810133
16,1,43,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Simpson St,43.00000000,2-5,159,2,Bronx,015900,2015900,E,BX27,Hunts Point,3710,-73.8930706687803,40.8239778281847
17,1,44,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Bronx Park East,44.00000000,2-5,220,2,Bronx,022000,2022000,E,BX17,East Tremont,3705,-73.8683580153142,40.8487713664911
18,1,47,4-all times,http://web.mta.info/nyct/service/,149th St - Grand Concourse,47.00000000,4,51,2,Bronx,005100,2005100,E,BX39,Mott Haven-Port Morris,3710,-73.9273863126337,40.818301468022
19,1,48,4-all times,http://web.mta.info/nyct/service/,161st St - Yankee Stadium,48.00000000,4,195,2,Bronx,019500,2019500,E,BX63,West Concourse,3708,-73.9256884967467,40.8282330801815
20,1,50,6-all times,http://web.mta.info/nyct/service/,E 149th St,50.00000000,6,83,2,Bronx,008300,2008300,E,BX33,Longwood,3710,-73.9041019804693,40.8121147019679
