OBJECTID_1,Join_Count,TARGET_FID,notes,url,name,objectid,line,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,x,y
1,1,1,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Astor Pl,1.00000000,4-6-6 Express,57,1,Manhattan,005700,1005700,I,MN23,West Village,3810,-73.9910678831249,40.7300549589893
2,1,2,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Canal St,2.00000000,4-6-6 Express,45,1,Manhattan,004500,1004500,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,-74.0001947664115,40.7188014367478
3,1,3,"1-all times, 2-nights",http://web.mta.info/nyct/service/,50th St,3.00000000,1-2,131,1,Manhattan,013100,1013100,I,MN17,Midtown-Midtown South,3807,-73.9838454282406,40.7617288833906
4,1,4,"4-nights, 3-all other times, 2-all times",http://web.mta.info/nyct/service/,Bergen St,4.00000000,2-3-4,129.02,3,Brooklyn,012902,3012902,I,BK37,Park Slope-Gowanus,4005,-73.974997022692,40.6808603997729
5,1,5,"4-nights, 3-all other times",http://web.mta.info/nyct/service/,Pennsylvania Ave,5.00000000,3-4,1126,3,Brooklyn,112600,3112600,E,BK85,East New York (Pennsylvania Ave),4007,-73.8948852656542,40.6647130729558
6,1,6,"1-all times, exit only northbound",http://web.mta.info/nyct/service/,238th St,6.00000000,1,283,2,Bronx,028300,2028300,E,BX29,Spuyten Duyvil-Kingsbridge,3701,-73.9008680454464,40.8846674923416
7,1,7,"A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/,Cathedral Pkwy (110th St),7.00000000,A-B-C,216,1,Manhattan,021600,1021600,E,MN11,Central Harlem South,3803,-73.9580637795863,40.8005826620955
8,1,8,"A-nights, C-all other times",http://web.mta.info/nyct/service/,Kingston - Throop Aves,8.00000000,A-C,271,3,Brooklyn,027100,3027100,E,BK61,Crown Heights North,4006,-73.9408610418954,40.6799202829009
9,1,9,"E-nights, R-all other times, M-weekdays and evenings",http://web.mta.info/nyct/service/,65th St,9.00000000,E-M-R,261,4,Queens,026100,4026100,E,QN63,Woodside,4109,-73.8987839539873,40.749718524008
10,1,10,"E-nights, R-all other times, M-weekdays and evenings",http://web.mta.info/nyct/service/,36th St,10.00000000,E-M-R,171,4,Queens,017100,4017100,I,QN31,Hunters Point-Sunnyside-West Maspeth,4109,-73.9290212464507,40.7519574467434
11,1,11,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",http://web.mta.info/nyct/service/,Delancey St - Essex St,11.00000000,J-M-Z,18,1,Manhattan,001800,1001800,E,MN27,Chinatown,3809,-73.9874117399185,40.7183044133705
12,1,12,"Z-rush hours AM westbound, PM eastbound, J-all other times",http://web.mta.info/nyct/service/,Van Siclen Ave,12.00000000,J-Z,1198,3,Brooklyn,119800,3119800,E,BK82,East New York,4008,-73.8916603137842,40.6780263840163
13,1,13,"Z-rush hours AM westbound, PM eastbound, J-all other times",http://web.mta.info/nyct/service/,Norwood Ave,13.00000000,J-Z,1174,3,Brooklyn,117400,3117400,E,BK83,Cypress Hills-City Line,4008,-73.879622888977,40.6815211986245
14,1,14,"Z-rush hours AM westbound, PM eastbound, J-all other times",http://web.mta.info/nyct/service/,104th-102nd Sts,14.00000000,J-Z,28,4,Queens,002800,4002800,I,QN54,Richmond Hill,4111,-73.844435879298,40.6951648899857
15,1,15,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times",http://web.mta.info/nyct/service/,DeKalb Ave,15.00000000,B-D-N-Q-R,31,3,Brooklyn,003100,3003100,I,BK68,Fort Greene,4004,-73.9817703199342,40.6906490897479
16,1,16,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",http://web.mta.info/nyct/service/,Beach 105th St,16.00000000,A-S,938,4,Queens,093800,4093800,E,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4114,-73.827583484568,40.5832696704099
17,1,17,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",http://web.mta.info/nyct/service/,Beach 90th St,17.00000000,A-S,942.02,4,Queens,094202,4094202,E,QN12,Hammels-Arverne-Edgemere,4114,-73.8136506145113,40.5880929028523
18,1,18,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Freeman St,18.00000000,2-5,125,2,Bronx,012500,2012500,E,BX35,Morrisania-Melrose,3705,-73.8917501453126,40.8299867627311
19,1,19,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Intervale Ave,19.00000000,2-5,87,2,Bronx,008700,2008700,E,BX33,Longwood,3710,-73.8966190141525,40.8221424115751
20,1,20,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,182nd-183rd Sts,20.00000000,B-D,383.01,2,Bronx,038301,2038301,E,BX40,Fordham South,3707,-73.9007422813067,40.8560961908019
21,1,21,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,174th-175th Sts,21.00000000,B-D,227.01,2,Bronx,022701,2022701,E,BX41,Mount Hope,3707,-73.9101386591786,40.8458969331346
22,1,22,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,167th St,22.00000000,B-D,181.02,2,Bronx,018102,2018102,E,BX14,East Concourse-Concourse Village,3708,-73.918430109251,40.8337658589242
23,1,23,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",http://web.mta.info/nyct/service/,Mets - Willets Point,23.00000000,7-7 Express,383.02,4,Queens,038302,4038302,I,QN99,park-cemetery-etc-Queens,4107,-73.8456216554731,40.7546250009396
24,1,24,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",http://web.mta.info/nyct/service/,Junction Blvd,24.00000000,7-7 Express,465,4,Queens,046500,4046500,E,QN29,Elmhurst,4107,-73.8695258251835,40.7491468720796
25,1,25,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",http://web.mta.info/nyct/service/,Flushing - Main St,25.00000000,7-7 Express,853,4,Queens,085300,4085300,E,QN22,Flushing,4103,-73.8300269021408,40.7595991592342
26,1,26,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",http://web.mta.info/nyct/service/,Buhre Ave,26.00000000,6-6 Express,266.01,2,Bronx,026601,2026601,I,BX10,Pelham Bay-Country Club-City Island,3703,-73.8325691343948,40.8468075236244
27,1,27,"6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,3rd Ave - 138th St,27.00000000,6-6 Express,23,2,Bronx,002300,2002300,E,BX39,Mott Haven-Port Morris,3710,-73.9261376543887,40.8104761321298
28,1,28,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",http://web.mta.info/nyct/service/,Castle Hill Ave,28.00000000,6-6 Express,92,2,Bronx,009200,2009200,E,BX59,Westchester-Unionport,3709,-73.8512181596931,40.8342552225346
29,1,29,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Brooklyn Bridge - City Hall,29.00000000,4-5-6-6 Express,29,1,Manhattan,002900,1002900,E,MN27,Chinatown,3809,-74.004129387356,40.7130616120146
30,1,30,"6 Express-weekdays AM southbound, PM northbound, 6-all other times",http://web.mta.info/nyct/service/,Zerega Ave,30.00000000,6-6 Express,96,2,Bronx,009600,2009600,E,BX59,Westchester-Unionport,3709,-73.8470320104692,40.8364912964025
31,1,31,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Grand Central - 42nd St,31.00000000,4-5-6-6 Express,92,1,Manhattan,009200,1009200,I,MN19,Turtle Bay-East Midtown,3808,-73.9767128048847,40.7518077338974
32,1,32,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,33rd St,32.00000000,4-6-6 Express,72,1,Manhattan,007200,1007200,I,MN20,Murray Hill-Kips Bay,3808,-73.9820757471309,40.7460843673528
33,1,33,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,96th St,33.00000000,4-6-6 Express,158.01,1,Manhattan,015801,1015801,I,MN40,Upper East Side-Carnegie Hill,3805,-73.951065903523,40.7856750758922
34,1,34,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,77th St,34.00000000,4-6-6 Express,128,1,Manhattan,012800,1012800,I,MN40,Upper East Side-Carnegie Hill,3805,-73.9598783764603,40.773621423684
35,1,35,"Z-rush hours AM westbound, PM eastbound, J-all other times",http://web.mta.info/nyct/service/,Chauncey St,35.00000000,J-Z,369,3,Brooklyn,036900,3036900,E,BK79,Ocean Hill,4007,-73.9103812043053,40.6828495888653
36,1,36,"D,N-nights, R-all other times",http://web.mta.info/nyct/service/,Union St,36.00000000,D-N-R,133,3,Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,4005,-73.9831088097076,40.6773178612515
37,1,37,"E-nights, R-all other times, M-weekdays and evenings",http://web.mta.info/nyct/service/,Elmhurst Ave,37.00000000,E-M-R,481,4,Queens,048100,4048100,E,QN29,Elmhurst,4107,-73.8820303739385,40.7423683389102
38,1,38,"A-nights, C-all other times",http://web.mta.info/nyct/service/,Ralph Ave,38.00000000,A-C,301,3,Brooklyn,030100,3030100,E,BK79,Ocean Hill,4007,-73.9207836952954,40.6788234631258
39,1,39,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Pelham Pkwy,39.00000000,2-5,224.03,2,Bronx,022403,2022403,E,BX49,Pelham Parkway,3704,-73.8674776663357,40.8571900885653
40,1,40,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Gun Hill Rd,40.00000000,2-5,380,2,Bronx,038000,2038000,E,BX44,Williamsbridge-Olinville,3702,-73.8661301934095,40.8778416618289
41,1,41,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Nereid Ave (238 St),41.00000000,2-5,434,2,Bronx,043400,2043400,E,BX62,Woodlawn-Wakefield,3702,-73.8543173474234,40.8982898810133
42,1,42,"2,4-all times, 3-all times exc nights, 5-weekdays",http://web.mta.info/nyct/service/,Franklin Ave,42.00000000,2-3-4-5,217,3,Brooklyn,021700,3021700,E,BK61,Crown Heights North,4006,-73.9580997121977,40.6707636686997
43,1,43,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Simpson St,43.00000000,2-5,159,2,Bronx,015900,2015900,E,BX27,Hunts Point,3710,-73.8930706687803,40.8239778281847
44,1,44,"2-all times, 5-rush hours AM southbound, PM northbound",http://web.mta.info/nyct/service/,Bronx Park East,44.00000000,2-5,220,2,Bronx,022000,2022000,E,BX17,East Tremont,3705,-73.8683580153142,40.8487713664911
45,1,45,"2-all times, 5-weekdays",http://web.mta.info/nyct/service/,Winthrop St,45.00000000,2-5,804,3,Brooklyn,080400,3080400,E,BK60,Prospect Lefferts Gardens-Wingate,4011,-73.9500777567105,40.6566583877659
46,1,46,"4-nights, 3-all other times",http://web.mta.info/nyct/service/,Van Siclen Ave,46.00000000,3-4,1124,3,Brooklyn,112400,3112400,E,BK82,East New York,4008,-73.8894055424211,40.6655171251887
47,1,47,4-all times,http://web.mta.info/nyct/service/,149th St - Grand Concourse,47.00000000,4,51,2,Bronx,005100,2005100,E,BX39,Mott Haven-Port Morris,3710,-73.9273863126337,40.818301468022
48,1,48,4-all times,http://web.mta.info/nyct/service/,161st St - Yankee Stadium,48.00000000,4,195,2,Bronx,019500,2019500,E,BX63,West Concourse,3708,-73.9256884967467,40.8282330801815
49,1,49,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound",http://web.mta.info/nyct/service/,Lexington Ave - 59th St,49.00000000,4-5-6-6 Express,114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,-73.9679632140173,40.7625249608418
50,1,50,6-all times,http://web.mta.info/nyct/service/,E 149th St,50.00000000,6,83,2,Bronx,008300,2008300,E,BX33,Longwood,3710,-73.9041019804693,40.8121147019679
51,1,51,6-all times,http://web.mta.info/nyct/service/,Morrison Av - Soundview,51.00000000,6,48,2,Bronx,004800,2004800,E,BX55,Soundview-Bruckner,3709,-73.8745204581632,40.8295177591506
52,1,52,6-all times,http://web.mta.info/nyct/service/,Whitlock Ave,52.00000000,6,121.02,2,Bronx,012102,2012102,E,BX27,Hunts Point,3710,-73.8862794052323,40.8265269336574
53,1,53,6-all times,http://web.mta.info/nyct/service/,St Lawrence Ave,53.00000000,6,70,2,Bronx,007000,2007000,E,BX55,Soundview-Bruckner,3709,-73.8676213967812,40.8315093022141
54,1,54,"7-all times, 7 Express-rush hours AM westbound, PM eastbound",http://web.mta.info/nyct/service/,Woodside - 61st St,54.00000000,7-7 Express,261,4,Queens,026100,4026100,E,QN63,Woodside,4109,-73.902988069517,40.7456283823644
55,1,55,A-all times,http://web.mta.info/nyct/service/,Far Rockaway - Mott Ave,55.00000000,A,1008.02,4,Queens,100802,4100802,E,QN15,Far Rockaway-Bayswater,4114,-73.755403851489,40.603992779466
56,1,56,"A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/,72nd St,56.00000000,A-B-C,143,1,Manhattan,014300,1014300,I,MN99,park-cemetery-etc-Manhattan,3806,-73.9763355124653,40.7755194067805
57,1,57,"A-nights, B-weekdays and evenings, C-all times exc nights",http://web.mta.info/nyct/service/,96th St,57.00000000,A-B-C,143,1,Manhattan,014300,1014300,I,MN99,park-cemetery-etc-Manhattan,3806,-73.9646035148547,40.7916194690735
58,1,58,"A-all times, C-all times exc nights",http://web.mta.info/nyct/service/,168th St,58.00000000,A-C,251,1,Manhattan,025100,1025100,E,MN36,Washington Heights South,3801,-73.9395584847335,40.8407185612784
59,1,59,"B-rush hours, D-all times",http://web.mta.info/nyct/service/,Kingsbridge Rd,59.00000000,B-D,403.02,2,Bronx,040302,2040302,E,BX05,Bedford Park-Fordham North,3706,-73.8935108432695,40.8669800089074
60,1,60,"B,M-weekdays and evenings, D,F-all times",http://web.mta.info/nyct/service/,42nd St - Bryant Pk,60.00000000,B-D-F-M,84,1,Manhattan,008400,1008400,I,MN17,Midtown-Midtown South,3807,-73.9845910299264,40.754182684304
61,1,61,"B-weekdays and evenings, Q,S to Franklin Av-Fulton St-all times",http://web.mta.info/nyct/service/,Prospect Park,61.00000000,B-Q-S,327,3,Brooklyn,032700,3032700,E,BK60,Prospect Lefferts Gardens-Wingate,4011,-73.9620343331421,40.6616330543842
62,1,62,D-all times,http://web.mta.info/nyct/service/,55th St,62.00000000,D,240,3,Brooklyn,024000,3024000,E,BK88,Borough Park,4014,-73.9953528470301,40.6314795237397
63,1,63,E-all times,http://web.mta.info/nyct/service/,Jamaica - Van Wyck,63.00000000,E,216,4,Queens,021600,4021600,I,QN60,Kew Gardens,4111,-73.8170103136739,40.7029016582457
