GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
0800000US360614491951000000100,360614491951000000100,"Census Tract 1, New York city (part), Manhattan borough, New York County, New York",0,0,0
0800000US360614491951000000201,360614491951000000201,"Census Tract 2.01, New York city (part), Manhattan borough, New York County, New York",1034,252,782
0800000US360614491951000000202,360614491951000000202,"Census Tract 2.02, New York city (part), Manhattan borough, New York County, New York",2623,234,2389
0800000US360614491951000000500,360614491951000000500,"Census Tract 5, New York city (part), Manhattan borough, New York County, New York",0,0,0
0800000US360614491951000000600,360614491951000000600,"Census Tract 6, New York city (part), Manhattan borough, New York County, New York",3926,862,3064
0800000US360614491951000000700,360614491951000000700,"Census Tract 7, New York city (part), Manhattan borough, New York County, New York",5381,318,5063
0800000US360614491951000000800,360614491951000000800,"Census Tract 8, New York city (part), Manhattan borough, New York County, New York",4682,893,3789
0800000US360614491951000000900,360614491951000000900,"Census Tract 9, New York city (part), Manhattan borough, New York County, New York",631,13,618
0800000US360614491951000001001,360614491951000001001,"Census Tract 10.01, New York city (part), Manhattan borough, New York County, New York",629,99,530
0800000US360614491951000001002,360614491951000001002,"Census Tract 10.02, New York city (part), Manhattan borough, New York County, New York",1789,112,1677
0800000US360614491951000001200,360614491951000001200,"Census Tract 12, New York city (part), Manhattan borough, New York County, New York",1647,138,1509
0800000US360614491951000001300,360614491951000001300,"Census Tract 13, New York city (part), Manhattan borough, New York County, New York",2936,9,2927
0800000US360614491951000001401,360614491951000001401,"Census Tract 14.01, New York city (part), Manhattan borough, New York County, New York",1588,236,1352
0800000US360614491951000001402,360614491951000001402,"Census Tract 14.02, New York city (part), Manhattan borough, New York County, New York",1516,221,1295
0800000US360614491951000001501,360614491951000001501,"Census Tract 15.01, New York city (part), Manhattan borough, New York County, New York",3129,295,2834
0800000US360614491951000001502,360614491951000001502,"Census Tract 15.02, New York city (part), Manhattan borough, New York County, New York",4636,356,4280
0800000US360614491951000001600,360614491951000001600,"Census Tract 16, New York city (part), Manhattan borough, New York County, New York",3752,303,3449
0800000US360614491951000001800,360614491951000001800,"Census Tract 18, New York city (part), Manhattan borough, New York County, New York",3980,532,3448
0800000US360614491951000002000,360614491951000002000,"Census Tract 20, New York city (part), Manhattan borough, New York County, New York",1446,244,1202
0800000US360614491951000002100,360614491951000002100,"Census Tract 21, New York city (part), Manhattan borough, New York County, New York",3491,100,3391
0800000US360614491951000002201,360614491951000002201,"Census Tract 22.01, New York city (part), Manhattan borough, New York County, New York",3134,447,2687
0800000US360614491951000002202,360614491951000002202,"Census Tract 22.02, New York city (part), Manhattan borough, New York County, New York",1633,127,1506
0800000US360614491951000002400,360614491951000002400,"Census Tract 24, New York city (part), Manhattan borough, New York County, New York",1657,307,1350
0800000US360614491951000002500,360614491951000002500,"Census Tract 25, New York city (part), Manhattan borough, New York County, New York",1524,116,1408
0800000US360614491951000002601,360614491951000002601,"Census Tract 26.01, New York city (part), Manhattan borough, New York County, New York",1793,147,1646
0800000US360614491951000002602,360614491951000002602,"Census Tract 26.02, New York city (part), Manhattan borough, New York County, New York",2745,113,2632
0800000US360614491951000002700,360614491951000002700,"Census Tract 27, New York city (part), Manhattan borough, New York County, New York",645,103,542
0800000US360614491951000002800,360614491951000002800,"Census Tract 28, New York city (part), Manhattan borough, New York County, New York",3273,54,3219
0800000US360614491951000002900,360614491951000002900,"Census Tract 29, New York city (part), Manhattan borough, New York County, New York",2411,296,2115
0800000US360614491951000003001,360614491951000003001,"Census Tract 30.01, New York city (part), Manhattan borough, New York County, New York",3106,276,2830
0800000US360614491951000003002,360614491951000003002,"Census Tract 30.02, New York city (part), Manhattan borough, New York County, New York",1876,135,1741
0800000US360614491951000003100,360614491951000003100,"Census Tract 31, New York city (part), Manhattan borough, New York County, New York",1609,316,1293
0800000US360614491951000003200,360614491951000003200,"Census Tract 32, New York city (part), Manhattan borough, New York County, New York",5277,139,5138
0800000US360614491951000003300,360614491951000003300,"Census Tract 33, New York city (part), Manhattan borough, New York County, New York",3001,74,2927
0800000US360614491951000003400,360614491951000003400,"Census Tract 34, New York city (part), Manhattan borough, New York County, New York",4569,155,4414
0800000US360614491951000003601,360614491951000003601,"Census Tract 36.01, New York city (part), Manhattan borough, New York County, New York",1358,65,1293
0800000US360614491951000003602,360614491951000003602,"Census Tract 36.02, New York city (part), Manhattan borough, New York County, New York",1485,88,1397
0800000US360614491951000003700,360614491951000003700,"Census Tract 37, New York city (part), Manhattan borough, New York County, New York",1350,42,1308
0800000US360614491951000003800,360614491951000003800,"Census Tract 38, New York city (part), Manhattan borough, New York County, New York",5855,380,5475
0800000US360614491951000003900,360614491951000003900,"Census Tract 39, New York city (part), Manhattan borough, New York County, New York",2589,65,2524
0800000US360614491951000004000,360614491951000004000,"Census Tract 40, New York city (part), Manhattan borough, New York County, New York",5927,450,5477
0800000US360614491951000004100,360614491951000004100,"Census Tract 41, New York city (part), Manhattan borough, New York County, New York",3619,391,3228
0800000US360614491951000004200,360614491951000004200,"Census Tract 42, New York city (part), Manhattan borough, New York County, New York",2596,250,2346
0800000US360614491951000004300,360614491951000004300,"Census Tract 43, New York city (part), Manhattan borough, New York County, New York",3057,123,2934
0800000US360614491951000004400,360614491951000004400,"Census Tract 44, New York city (part), Manhattan borough, New York County, New York",9984,501,9483
